date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2000-03-31,,,,,0.1103,0.1533,,0.0053,,0.0114,0.0383,0.04865606081,,0.0334,,,-0.0248,,
2000-06-30,,,,,-0.0009,0.0751,,0.0363,,0.0159,-0.0852,-0.005555923358,,0.0566,,,0.03609515997,,
2000-09-30,,,,,-0.0295,0.1497,,0.0089,,0.0368,-0.0453,0.008535962493,,0.0114,,,0.07487133808,,
2000-12-31,,,,,-0.0306,-0.1013,,-0.0575,,-0.0183,-0.0729,0.00568147884,,0.0666,,,0.04821140831,,
2001-03-31,,,,,-0.0635,-0.0899,,-0.0119,,0.0647,0.0091,0.001925033774,,0.0312,,,-0.05046512241,,
2001-06-30,,,,,0.0238,-0.0746,,-0.0608,,0.029,-0.013,0.01535092356,,0.0007,,,0.06015023683,,
2001-09-30,,,,,-0.0809,-0.1505,,-0.0545,,0.0149,-0.0254,-0.0009217344995,,-0.0062,,,-0.09830014485,,
2001-12-31,,,,,-0.0011,-0.0779,,-0.0812,,0.021,-0.0637,0.01446442239,,0.0367,,,0.05973890238,,
2002-03-31,,,,,-0.0023,-0.0948,0.0327,-0.025,,0.0377,0.0141,0.01338580635,,0.0143,,,0.05375961135,,
2002-06-30,,,,,-0.0135,-0.1303,0.0174,-0.0711,,-0.001,-0.0505,0.006507941151,,-0.0043,,,0.0543880478,,
2002-09-30,,,,,-0.0398,-0.0991,-0.0334,-0.0593,,-0.0519,-0.0926,-0.006214228066,,0.0039,,,-0.1007323147,,
2002-12-31,,,,,0.0208,-0.1076,-0.0336,-0.0763,,0.0741,0.0067,0.02179707941,,-0.0077,,,0.02903676894,,
2003-03-31,,,,,0.0042,-0.0468,-0.0072,-0.0315,,0.0151,-0.0443,0.02123096335,,0.0174,,,-0.01731059597,,
2003-06-30,,,,,0.0722,-0.0103,0.0222,0.0201,,0.1353,0.0623,0.02825580562,,0.0134,,,0.1443678202,,
2003-09-30,,,,,0.0434,-0.0305,0.0398,0.0027,,0.0588,0.1035,0.01147597744,,0.0165,,,0.1185413935,,
2003-12-31,,,,,0.126,0.0167,0.1883,0.0826,,0.0755,0.1521,0.02633262933,,0.057,,,0.1185188846,,
2004-03-31,,,,,0.0159,0.0152,0.0362,-0.0121,,0.0351,0.1377,0.02380591552,,0.0184,,,0.13489849,,
2004-06-30,,,,,0.0519,0.003,0.0483,0.0245,,0.0313,0.0265,-0.006528520207,,0.0296,,,-0.04127335532,,
2004-09-30,,,,,0.0237,0.0653,0.0474,0.0242,,0.0452,0.0377,0.004730367859,,0.0038,,,0.07574395006,,
2004-12-31,,,,,0.1543,0.0597,0.1506,0.0959,,0.101,0.1219,0.03556498913,,0.1702,,,0.1786993291,,
2005-03-31,,,,,0.0083,-0.0048,0.0063,-0.0086,,0.0261,0.0387,0.009187524789,,0.0283,,,-0.04920725709,,
2005-06-30,,,,,0.0884,0.026,0.0593,0.0106,,0.0082,-0.0133,-0.003125409391,,0.0617,,,0.09286735229,,
2005-09-30,,,,,0.0617,0.0431,0.0715,0.0437,,0.0541,0.0107,0.02997992055,,0.0581,,,0.0607605862,,
2005-12-31,,,,,0.0842,0.0188,0.1326,0.0873,,0.0155,0.1157,0.0145507867,,0.117,,,0.04653653595,,
2006-03-31,,,,,0.0521,0.043,0.0201,0.0307,,0.0541,0.0251,0.03930629359,,0.0213,,,0.1398514851,,
2006-06-30,-0.00787832314,-0.003924238178,0.01006337761,-0.004573015812,0.0814,0.0041,0.0571,0.04,,0.0706,0.0294,0.006304622995,,0.0406,,,-0.003695815585,,
2006-09-30,0.04495924901,0.04627135678,-0.02101942286,0.003836585891,0.0321,0.0145,0.0394,0.0286,,0.0283,-0.0008,0.004645001105,,0.0343,,,0.09918613993,,
2006-12-31,0.09064749323,0.005686621072,-0.02014985951,0.008057763786,0.1756,0.0914,0.1077,0.0696,,0.0764,0.1133,0.03935470222,,0.1758,,,0.140400272,-0.0407,
2007-03-31,0.02478046605,0.01623748758,0.004152390573,-0.001072432161,0.0543,0.0115,0.0364,0.042,,0.0474,0.0411,0.03123962591,,0.1033,,,0.06222622246,0.0054,
2007-06-30,0.07228083045,-0.013496748,0.008819533246,-0.0001072797129,0.1117,0.0789,0.0672,0.0641,,0.0586,0.1631,0.03294097254,,0.0523,,,-0.05851274531,0.0344,
2007-09-30,0.03471910148,0.04714176829,-0.01051105685,-0.02972102444,0.0283,0.0236,0.0795,0.0499,,-0.0083,0.0799,-0.004483401503,,-0.0012,,,0.03655675492,0.0002,
2007-12-31,-0.01791971422,0.04971430651,-0.008512823606,-0.02919929093,0.0369,0.0386,0.0523,0.0562,,-0.0351,0.1033,0.01541641216,,0.0075,,,-0.1024585096,0.0967,
2008-03-31,-0.09281741789,0.06174808446,-0.01824570057,-0.0608920029,0.0035,-0.0136,0.0117,0.0071,,-0.0373,-0.0756,-0.02856439868,0.013174,0.0143,,,-0.05629264027,0.0354,
